Wavelength,Test1,Test2,Test3,Average
708.5,0.256443,0.256538,0.257736,0.2569056667
709,0.256057,0.256175,0.257343,0.256525
709.5,0.255982,0.256087,0.25713,0.2563996667
710,0.255899,0.255972,0.257,0.2562903333
710.5,0.255571,0.255566,0.256787,0.2559746667
711,0.254998,0.254985,0.256208,0.255397
711.5,0.254686,0.254713,0.255836,0.2550783333
712,0.254598,0.254644,0.255749,0.254997
712.5,0.254392,0.254407,0.255553,0.254784
713,0.253917,0.253861,0.255166,0.2543146667
713.5,0.253466,0.253432,0.254691,0.253863
714,0.253317,0.25335,0.254406,0.253691
714.5,0.253211,0.253187,0.254288,0.253562
715,0.252737,0.252712,0.253944,0.253131
715.5,0.25216,0.25216,0.253396,0.252572
716,0.25184,0.251896,0.253032,0.252256
716.5,0.251775,0.251822,0.252883,0.25216
717,0.251561,0.251526,0.252716,0.2519343333
717.5,0.250886,0.250854,0.252146,0.2512953333
718,0.250398,0.250409,0.251638,0.250815
718.5,0.250334,0.250357,0.251451,0.250714
719,0.250115,0.250126,0.251273,0.2505046667
719.5,0.249582,0.249614,0.250904,0.2500333333
720,0.249066,0.249151,0.250399,0.2495386667
720.5,0.248832,0.248905,0.250025,0.249254
721,0.248693,0.248767,0.249861,0.249107
721.5,0.248294,0.248349,0.249582,0.2487416667
722,0.247629,0.247683,0.249012,0.248108
722.5,0.247246,0.247319,0.24854,0.2477016667
723,0.247179,0.247285,0.248322,0.2475953333
723.5,0.246929,0.246965,0.248199,0.2473643333
724,0.246367,0.246321,0.247748,0.246812
724.5,0.245841,0.245847,0.247191,0.246293
725,0.245648,0.245692,0.246769,0.2460363333
725.5,0.245479,0.245528,0.246604,0.2458703333
726,0.245075,0.245077,0.246377,0.2455096667
726.5,0.244419,0.244421,0.245838,0.2448926667
727,0.244022,0.243986,0.245266,0.2444246667
727.5,0.243914,0.243907,0.245077,0.2442993333
728,0.243755,0.24374,0.244884,0.2441263333
728.5,0.243163,0.243126,0.244502,0.243597
729,0.24259,0.242505,0.243954,0.2430163333
729.5,0.242359,0.242375,0.2436,0.242778
730,0.242254,0.242306,0.243439,0.2426663333
730.5,0.241915,0.241868,0.243192,0.242325
731,0.241342,0.241288,0.242689,0.241773
731.5,0.240888,0.240794,0.24216,0.2412806667
732,0.240712,0.240695,0.241857,0.241088
732.5,0.240522,0.240546,0.241679,0.2409156667
733,0.240052,0.240036,0.241382,0.24049
733.5,0.239327,0.239366,0.240773,0.239822
734,0.23894,0.239018,0.24025,0.2394026667
734.5,0.238935,0.238969,0.24005,0.239318
735,0.238729,0.238754,0.239949,0.239144
735.5,0.23808,0.238138,0.23953,0.2385826667
736,0.237521,0.237566,0.238961,0.238016
736.5,0.237299,0.237349,0.238544,0.2377306667
737,0.237159,0.237232,0.238313,0.237568
737.5,0.236864,0.23686,0.238144,0.2372893333
738,0.236291,0.236319,0.23771,0.2367733333
738.5,0.235698,0.235707,0.237117,0.236174
739,0.235448,0.235467,0.236731,0.235882
739.5,0.23545,0.23546,0.236559,0.235823
740,0.235026,0.235076,0.236359,0.235487
740.5,0.234335,0.234359,0.235836,0.2348433333
741,0.233866,0.233901,0.235316,0.234361
741.5,0.233774,0.233803,0.234968,0.2341816667
742,0.23361,0.233644,0.234789,0.2340143333
742.5,0.233097,0.233152,0.234515,0.233588
743,0.23254,0.232631,0.234066,0.233079
743.5,0.232179,0.232248,0.233524,0.2326503333
744,0.232077,0.232106,0.233273,0.2324853333
744.5,0.231909,0.231884,0.233121,0.2323046667
745,0.231295,0.231249,0.232663,0.2317356667
745.5,0.23055,0.230572,0.232023,0.2310483333
746,0.230257,0.230321,0.231553,0.2307103333
746.5,0.230212,0.230253,0.231348,0.2306043333
747,0.229892,0.229866,0.231144,0.2303006667
747.5,0.229197,0.229143,0.230669,0.2296696667
748,0.228717,0.228694,0.230089,0.2291666667
748.5,0.228579,0.22861,0.229704,0.2289643333
749,0.228394,0.22845,0.229551,0.2287983333
749.5,0.227981,0.228028,0.229394,0.2284676667
750,0.227353,0.227388,0.228861,0.2278673333
750.5,0.226856,0.226853,0.228229,0.2273126667
751,0.226697,0.226775,0.227916,0.2271293333
751.5,0.22661,0.226698,0.22779,0.2270326667
752,0.226201,0.226236,0.22755,0.2266623333
752.5,0.225498,0.225505,0.227051,0.226018
753,0.225114,0.225161,0.2265,0.2255916667
753.5,0.225037,0.225133,0.226201,0.225457
754,0.224884,0.224927,0.226082,0.2252976667
754.5,0.2243,0.224411,0.225857,0.224856
755,0.223771,0.223855,0.225362,0.2243293333
755.5,0.22342,0.22346,0.22472,0.2238666667
756,0.223252,0.223285,0.224374,0.223637
756.5,0.223139,0.2232,0.224284,0.223541
757,0.222759,0.222789,0.224093,0.2232136667
757.5,0.222102,0.2221,0.223617,0.2226063333
758,0.221599,0.221659,0.223038,0.2220986667
758.5,0.221561,0.221619,0.222676,0.221952
759,0.221492,0.221505,0.222578,0.2218583333
759.5,0.221068,0.221054,0.222433,0.2215183333
760,0.220466,0.220472,0.222092,0.22101
760.5,0.220033,0.220113,0.221442,0.2205293333
761,0.219875,0.219957,0.221025,0.2202856667
761.5,0.219699,0.219772,0.220849,0.2201066667
762,0.219347,0.219343,0.220695,0.219795
762.5,0.218806,0.218794,0.220215,0.2192716667
763,0.218209,0.218247,0.219593,0.218683
763.5,0.217974,0.218088,0.219126,0.218396
764,0.217927,0.218035,0.218981,0.2183143333
764.5,0.217628,0.217684,0.218867,0.2180596667
765,0.216896,0.216932,0.21846,0.2174293333
765.5,0.216499,0.216585,0.217946,0.21701
766,0.216414,0.216515,0.217492,0.216807
766.5,0.216324,0.216434,0.217385,0.2167143333
767,0.215914,0.215968,0.217293,0.2163916667
767.5,0.215329,0.215317,0.216845,0.2158303333
768,0.214783,0.214843,0.216167,0.2152643333
768.5,0.214586,0.214651,0.215744,0.2149936667
769,0.214596,0.214647,0.215671,0.2149713333
769.5,0.214369,0.214402,0.21564,0.2148036667
770,0.213684,0.213715,0.215257,0.2142186667
770.5,0.213056,0.213123,0.214659,0.2136126667
771,0.212967,0.213087,0.214189,0.2134143333
771.5,0.212985,0.213114,0.214047,0.213382
772,0.212674,0.212718,0.213976,0.2131226667
772.5,0.211949,0.212016,0.213664,0.212543
773,0.211557,0.211628,0.213072,0.2120856667
773.5,0.211393,0.211483,0.212591,0.2118223333
774,0.211281,0.211376,0.212417,0.2116913333
774.5,0.210974,0.211071,0.212369,0.2114713333
775,0.210499,0.210574,0.21204,0.2110376667
775.5,0.209937,0.209985,0.211451,0.2104576667
776,0.209655,0.209747,0.210938,0.2101133333
776.5,0.20969,0.209763,0.210724,0.210059
777,0.209534,0.209545,0.21065,0.2099096667
777.5,0.208941,0.208925,0.210514,0.20946
778,0.208284,0.208261,0.210048,0.2088643333
778.5,0.208124,0.20813,0.209431,0.2085616667
779,0.208058,0.208124,0.209085,0.2084223333
779.5,0.207878,0.207955,0.209038,0.2082903333
780,0.207414,0.207417,0.20893,0.2079203333
780.5,0.206941,0.20693,0.208537,0.2074693333
781,0.206522,0.206527,0.207969,0.207006
781.5,0.20635,0.20639,0.207606,0.206782
782,0.206372,0.20637,0.207507,0.2067496667
782.5,0.206143,0.206127,0.207417,0.2065623333
783,0.205541,0.205521,0.207072,0.2060446667
783.5,0.204847,0.204932,0.206548,0.2054423333
784,0.204811,0.204919,0.206041,0.205257
784.5,0.204825,0.204884,0.205792,0.205167
785,0.204615,0.204688,0.205755,0.2050193333
785.5,0.203942,0.204037,0.205673,0.2045506667
786,0.203478,0.203532,0.205217,0.2040756667
786.5,0.20324,0.203328,0.204589,0.203719
787,0.203126,0.203232,0.204261,0.2035396667
787.5,0.203013,0.203094,0.204241,0.2034493333
788,0.202681,0.202717,0.204153,0.2031836667
788.5,0.202115,0.20215,0.20365,0.2026383333
789,0.201515,0.201583,0.203064,0.202054
789.5,0.201463,0.201545,0.202623,0.201877
790,0.201475,0.201524,0.202495,0.2018313333
790.5,0.201209,0.201195,0.202436,0.2016133333
791,0.200385,0.200411,0.202188,0.2009946667
791.5,0.199981,0.200007,0.20155,0.2005126667
792,0.199895,0.19995,0.201016,0.200287
792.5,0.199837,0.199843,0.200832,0.2001706667
793,0.199437,0.199434,0.200842,0.1999043333
793.5,0.198904,0.198937,0.200609,0.1994833333
794,0.198514,0.1985,0.200032,0.1990153333
794.5,0.198148,0.198152,0.199498,0.1985993333
795,0.198106,0.198164,0.199212,0.198494
795.5,0.197963,0.198003,0.199149,0.1983716667
796,0.197707,0.197667,0.198986,0.19812
796.5,0.196932,0.196897,0.198571,0.1974666667
797,0.196428,0.196426,0.198029,0.196961
797.5,0.196459,0.196504,0.197481,0.1968146667
798,0.196429,0.196471,0.197304,0.1967346667
798.5,0.196122,0.196052,0.197292,0.1964886667
799,0.195359,0.195335,0.19718,0.195958
799.5,0.194962,0.194998,0.196592,0.1955173333
800,0.194615,0.194702,0.195882,0.1950663333
800.5,0.194498,0.194596,0.195544,0.1948793333
801,0.19434,0.194377,0.195539,0.194752
801.5,0.193993,0.193996,0.195485,0.1944913333
802,0.19352,0.19351,0.195105,0.194045
802.5,0.19287,0.192897,0.194589,0.193452
803,0.192687,0.192745,0.194,0.193144
803.5,0.192643,0.192692,0.193603,0.1929793333
804,0.192493,0.192542,0.193498,0.1928443333
804.5,0.191946,0.191893,0.193415,0.192418
805,0.191137,0.191174,0.193106,0.1918056667
805.5,0.190923,0.190999,0.192404,0.191442
806,0.190789,0.190842,0.191812,0.1911476667
806.5,0.190662,0.190726,0.19161,0.1909993333
807,0.190234,0.190225,0.191616,0.1906916667
807.5,0.18967,0.189654,0.191391,0.1902383333
808,0.189246,0.189211,0.190778,0.189745
808.5,0.188665,0.188685,0.190092,0.1891473333
809,0.188486,0.188574,0.18958,0.18888
809.5,0.188256,0.188299,0.189302,0.188619
810,0.187924,0.187914,0.18917,0.188336
810.5,0.187175,0.187143,0.188843,0.1877203333
811,0.186455,0.186489,0.18827,0.1870713333
811.5,0.186297,0.186377,0.18749,0.1867213333
812,0.186137,0.186217,0.186988,0.1864473333
812.5,0.185895,0.185942,0.186889,0.186242
813,0.18509,0.185076,0.186828,0.1856646667
813.5,0.184593,0.184597,0.186392,0.185194
814,0.184266,0.184255,0.185612,0.184711
814.5,0.183814,0.183849,0.184876,0.1841796667
815,0.183549,0.1836,0.184551,0.1839
815.5,0.183042,0.183098,0.184458,0.1835326667
816,0.182559,0.182633,0.184119,0.1831036667
816.5,0.1817,0.181772,0.183456,0.1823093333
817,0.181215,0.181294,0.182712,0.1817403333
817.5,0.181084,0.181151,0.182005,0.1814133333
818,0.180823,0.180849,0.181645,0.1811056667
818.5,0.180343,0.180315,0.181527,0.1807283333
819,0.179368,0.179359,0.181264,0.179997
819.5,0.178796,0.178847,0.180489,0.1793773333
820,0.178467,0.178508,0.179588,0.1788543333
820.5,0.178146,0.17819,0.178983,0.1784396667
821,0.177718,0.177752,0.178762,0.1780773333
821.5,0.176991,0.177025,0.178646,0.177554
822,0.176496,0.176562,0.178121,0.1770596667
822.5,0.175805,0.175848,0.177313,0.176322
823,0.175244,0.17533,0.176579,0.1757176667
823.5,0.174989,0.175083,0.175965,0.1753456667
824,0.174555,0.174641,0.175576,0.174924
824.5,0.17414,0.17408,0.17529,0.1745033333
825,0.173164,0.173127,0.174889,0.1737266667
825.5,0.172362,0.172405,0.174201,0.1729893333
826,0.172075,0.172125,0.173214,0.1724713333
826.5,0.171698,0.171745,0.172475,0.1719726667
827,0.171303,0.17134,0.172161,0.1716013333
827.5,0.170406,0.170394,0.172024,0.1709413333
828,0.169626,0.169687,0.171546,0.1702863333
828.5,0.16916,0.169214,0.170587,0.1696536667
829,0.168487,0.168581,0.169672,0.1689133333
829.5,0.168153,0.168229,0.169065,0.1684823333
830,0.167631,0.1676,0.168674,0.1679683333
830.5,0.166999,0.16704,0.16834,0.1674596667
831,0.166282,0.166309,0.167735,0.1667753333
831.5,0.165196,0.165273,0.166919,0.165796
832,0.164693,0.164797,0.165992,0.1651606667
832.5,0.164294,0.164342,0.165095,0.164577
833,0.163846,0.163905,0.164601,0.1641173333
833.5,0.163084,0.163075,0.164273,0.1634773333
834,0.161909,0.161957,0.163886,0.162584
834.5,0.161434,0.161468,0.163094,0.1619986667
835,0.16085,0.160868,0.161909,0.161209
835.5,0.160261,0.16032,0.161007,0.1605293333
836,0.159575,0.159621,0.160563,0.1599196667
836.5,0.158654,0.15873,0.160256,0.1592133333
837,0.158082,0.158119,0.159646,0.1586156667
837.5,0.157118,0.157112,0.158554,0.1575946667
838,0.156337,0.156406,0.157507,0.15675
838.5,0.155851,0.155903,0.156656,0.1561366667
839,0.155225,0.155287,0.15609,0.155534
839.5,0.154563,0.154646,0.155721,0.1549766667
840,0.153364,0.153401,0.155106,0.153957
840.5,0.152578,0.152624,0.154328,0.1531766667
841,0.152144,0.152185,0.153161,0.1524966667
841.5,0.151573,0.151633,0.152194,0.1518
842,0.150992,0.151065,0.151712,0.1512563333
842.5,0.149907,0.149988,0.151421,0.1504386667
843,0.149025,0.149102,0.150907,0.149678
843.5,0.14838,0.148451,0.149902,0.148911
844,0.147483,0.14755,0.148636,0.1478896667
844.5,0.146893,0.14701,0.147703,0.147202
845,0.146225,0.146267,0.147099,0.1465303333
845.5,0.145496,0.145542,0.146668,0.145902
846,0.144814,0.144847,0.146144,0.1452683333
846.5,0.14357,0.143656,0.145296,0.144174
847,0.142771,0.14289,0.144364,0.1433416667
847.5,0.142351,0.142445,0.143283,0.142693
848,0.141795,0.141892,0.142375,0.1420206667
848.5,0.141244,0.141287,0.141895,0.1414753333
849,0.140048,0.140035,0.141498,0.140527
849.5,0.138939,0.139011,0.140876,0.1396086667
850,0.138418,0.138474,0.139885,0.1389256667
850.5,0.137669,0.137767,0.138603,0.138013
851,0.13708,0.137186,0.137672,0.1373126667
851.5,0.136362,0.136408,0.137195,0.136655
852,0.135475,0.13551,0.136808,0.135931
852.5,0.134837,0.134882,0.13625,0.135323
853,0.133805,0.133787,0.135219,0.1342703333
853.5,0.132773,0.132875,0.134033,0.133227
854,0.132215,0.132327,0.132993,0.1325116667
854.5,0.13146,0.131555,0.132116,0.1317103333
855,0.13091,0.130976,0.131667,0.1311843333
855.5,0.12981,0.129808,0.131187,0.1302683333
856,0.12859,0.12869,0.130473,0.129251
856.5,0.128059,0.128183,0.129452,0.1285646667
857,0.127379,0.12746,0.128107,0.1276486667
857.5,0.12675,0.126851,0.127143,0.1269146667
858,0.125884,0.12591,0.126715,0.1261696667
858.5,0.124733,0.124767,0.126331,0.125277
859,0.124134,0.124186,0.125685,0.1246683333
859.5,0.123277,0.123288,0.12449,0.123685
860,0.122428,0.12246,0.123216,0.1227013333
860.5,0.121808,0.121852,0.122378,0.1220126667
861,0.121004,0.121034,0.121772,0.12127
861.5,0.120422,0.12044,0.121342,0.1207346667
862,0.119392,0.119375,0.120787,0.1198513333
862.5,0.11816,0.118243,0.119854,0.1187523333
863,0.117638,0.117764,0.118822,0.1180746667
863.5,0.116986,0.117107,0.117596,0.1172296667
864,0.116374,0.116466,0.116699,0.116513
864.5,0.11555,0.115553,0.116336,0.115813
865,0.114284,0.114347,0.116001,0.1148773333
865.5,0.113639,0.11373,0.115309,0.114226
866,0.113007,0.113021,0.114115,0.113381
866.5,0.112258,0.112361,0.11279,0.1124696667
867,0.111774,0.111834,0.112086,0.111898
867.5,0.11085,0.110892,0.111677,0.1111396667
868,0.110127,0.110175,0.111283,0.1105283333
868.5,0.109457,0.109499,0.110761,0.1099056667
869,0.108342,0.108412,0.109754,0.108836
869.5,0.107628,0.107698,0.108681,0.1080023333
870,0.107046,0.107082,0.107742,0.10729
870.5,0.106368,0.106488,0.106854,0.10657
871,0.105915,0.106014,0.106402,0.1061103333
871.5,0.104917,0.105014,0.106164,0.105365
872,0.103826,0.103902,0.105595,0.104441
872.5,0.103349,0.103408,0.104782,0.1038463333
873,0.10268,0.102778,0.103464,0.102974
873.5,0.102121,0.102233,0.102325,0.1022263333
874,0.101527,0.101596,0.101827,0.10165
874.5,0.100561,0.100581,0.10161,0.1009173333
875,0.099905,0.099941,0.101291,0.100379
875.5,0.099324,0.099297,0.100661,0.09976066667
876,0.098328,0.098361,0.09935,0.09867966667
876.5,0.097797,0.097869,0.09832,0.09799533333
877,0.097146,0.097174,0.09763,0.09731666667
877.5,0.096501,0.096565,0.09709,0.09671866667
878,0.096009,0.096043,0.096827,0.096293
878.5,0.094868,0.094927,0.096324,0.095373
879,0.094039,0.094109,0.095481,0.094543
879.5,0.093612,0.093693,0.094539,0.093948
880,0.093031,0.093125,0.093365,0.09317366667
880.5,0.092545,0.092574,0.092562,0.09256033333
881,0.091712,0.09167,0.092385,0.09192233333
881.5,0.090695,0.090733,0.092174,0.09120066667
882,0.090229,0.090338,0.091706,0.09075766667
882.5,0.08963,0.089688,0.0907,0.090006
883,0.089016,0.089135,0.0894,0.08918366667
883.5,0.088543,0.088615,0.088707,0.08862166667
884,0.087719,0.087764,0.088349,0.087944
884.5,0.08726,0.087336,0.08813,0.08757533333
885,0.086816,0.086838,0.087994,0.087216
885.5,0.085862,0.08591,0.087273,0.08634833333
886,0.085272,0.085336,0.086229,0.08561233333
886.5,0.084901,0.084937,0.085428,0.08508866667
887,0.084319,0.084373,0.084536,0.08440933333
887.5,0.083887,0.083946,0.084029,0.083954
888,0.083124,0.083125,0.084015,0.08342133333
888.5,0.082127,0.082182,0.083696,0.08266833333
889,0.081776,0.081855,0.083116,0.082249
889.5,0.081414,0.081468,0.082298,0.08172666667
890,0.08087,0.080959,0.081039,0.080956
890.5,0.080479,0.080541,0.080315,0.080445
891,0.079668,0.079695,0.080185,0.07984933333
891.5,0.078995,0.07903,0.080082,0.079369
892,0.07872,0.078735,0.079949,0.07913466667
892.5,0.078153,0.078134,0.079473,0.07858666667
893,0.077511,0.077543,0.078383,0.07781233333
893.5,0.077103,0.077192,0.077395,0.07723
894,0.076511,0.076561,0.07684,0.07663733333
894.5,0.076059,0.076133,0.076325,0.07617233333
895,0.075842,0.075897,0.076304,0.07601433333
895.5,0.075079,0.075067,0.076318,0.075488
896,0.074335,0.074375,0.075725,0.07481166667
896.5,0.074098,0.074128,0.075018,0.07441466667
897,0.073625,0.073642,0.074134,0.07380033333
897.5,0.07326,0.073321,0.073117,0.07323266667
898,0.0729,0.072873,0.072866,0.07287966667
898.5,0.07194,0.071883,0.072948,0.072257
899,0.071389,0.071461,0.07277,0.07187333333
899.5,0.071161,0.071243,0.072463,0.07162233333
900,0.070755,0.070839,0.071945,0.07117966667